u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
25,4,1.0,4.0,8.0,1,2.0,4.0,1.0,3.0,2.0,0.24808692610892344,1.1274137310584462,2.236555399832516,1.3840863186053893,2.0,5.0,4.0,3.0,0
26,4,1.0,4.0,1.0,1,2.0,3.0,1.0,3.0,2.0,0.24808692610892344,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,4.0,3.0,4.0,1
27,2,1.0,4.0,1.0,2,3.0,3.0,4.0,4.0,4.0,-0.4016161303812491,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,4.0,4.0,4.0,4.0,0
28,2,3.0,5.0,12.0,2,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
29,2,3.0,5.0,3.0,1,3.0,3.0,2.0,2.0,5.0,0.6812222971023718,1.1274137310584462,0.8831852289111356,-1.179482254115897,2.0,1.0,5.0,5.0,1
3,5,1.0,3.0,4.0,1,2.0,1.0,7.0,6.0,6.0,-0.2331745972171303,1.1274137310584462,2.236555399832516,-1.179482254115897,2.0,3.0,4.0,4.0,0
30,2,3.0,4.0,12.0,1,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
31,4,1.0,4.0,4.0,1,2.0,3.0,5.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
32,2,2.0,4.0,4.0,2,3.0,2.0,2.0,2.0,4.0,0.4887176877719503,1.1274137310584462,-0.4701849420102447,0.10230203224474622,2.0,2.0,5.0,4.0,0
33,2,3.0,5.0,12.0,3,4.0,2.0,2.0,4.0,6.0,-0.08879614021931417,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,5.0,4.0,3.0,0
34,2,1.0,3.0,12.0,1,2.0,2.0,2.0,2.0,4.0,0.10370846911110733,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
35,3,1.0,3.0,1.0,1,2.0,4.0,3.0,4.0,3.0,-0.08879614021931417,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,3.0,5.0,3.0,0
36,3,1.0,4.0,1.0,1,3.0,3.0,1.0,2.0,2.0,-0.13692229255191954,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,2.0,5.0,5.0,4.0,0
37,3,1.0,2.0,2.0,3,4.0,4.0,2.0,3.0,3.0,-0.28130074954973566,-2.7878980849543096,0.8831852289111356,1.3840863186053893,2.0,2.0,2.0,2.0,0
38,2,1.0,4.0,1.0,1,3.0,3.0,1.0,5.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,1.0,4.0,4.0,4.0,0
39,2,3.0,2.0,11.0,2,3.0,3.0,4.0,2.0,2.0,-0.08879614021931417,1.1274137310584462,-0.4701849420102447,0.10230203224474622,1.0,3.0,2.0,3.0,0
4,3,1.0,5.0,2.0,1,2.0,2.0,3.0,3.0,3.0,-0.32942690188234103,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,2.0,4.0,2.0,0
40,2,1.0,4.0,10.0,1,2.0,2.0,4.0,5.0,5.0,-0.08879614021931417,1.1274137310584462,-0.4701849420102447,0.10230203224474622,1.0,5.0,3.0,3.0,1
41,2,3.0,5.0,4.0,2,2.0,4.0,1.0,3.0,4.0,0.29621307844152883,1.1274137310584462,-0.4701849420102447,-1.179482254115897,3.0,2.0,2.0,1.0,0
42,5,1.0,3.0,3.0,2,3.0,3.0,3.0,2.0,2.0,0.007456164445896576,1.1274137310584462,-0.4701849420102447,0.10230203224474622,3.0,4.0,4.0,2.0,1
43,2,1.0,3.0,6.0,2,3.0,2.0,4.0,5.0,3.0,0.007456164445896576,-0.17769020761247245,0.8831852289111356,0.10230203224474622,1.0,5.0,4.0,5.0,1
45,2,1.0,5.0,2.0,2,3.0,3.0,4.0,4.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,1.0,5.0,4.0,1
46,2,1.0,4.0,4.0,1,2.0,2.0,4.0,3.0,2.0,-0.1850484448845249,1.1274137310584462,-0.4701849420102447,-1.179482254115897,1.0,1.0,2.0,4.0,1
47,2,1.0,4.0,1.0,1,3.0,3.0,4.0,5.0,5.0,0.10370846911110733,-0.17769020761247245,2.236555399832516,0.10230203224474622,3.0,2.0,4.0,5.0,0
49,2,3.0,3.0,1.0,2,2.0,3.0,1.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
5,3,1.0,3.0,6.0,2,3.0,3.0,1.0,1.0,4.0,-0.32942690188234103,-2.7878980849543096,-0.4701849420102447,-1.179482254115897,3.0,4.0,5.0,5.0,0
50,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
51,2,1.0,4.0,8.0,2,3.0,3.0,4.0,5.0,5.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,5.0,5.0,4.0,0
52,2,2.0,4.0,7.0,3,2.0,2.0,3.0,4.0,5.0,-0.13692229255191954,1.1274137310584462,-0.4701849420102447,-1.179482254115897,1.0,5.0,5.0,4.0,1
53,3,3.0,4.0,12.0,1,2.0,3.0,6.0,5.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,4.0,4.0,4.0,4.0,0
54,2,1.0,4.0,1.0,1,2.0,2.0,5.0,5.0,5.0,-0.2331745972171303,1.1274137310584462,-0.4701849420102447,0.10230203224474622,2.0,5.0,4.0,4.0,0
55,1,3.0,4.0,3.0,1,2.0,3.0,5.0,5.0,5.0,-0.28130074954973566,1.1274137310584462,-0.4701849420102447,1.3840863186053893,2.0,5.0,5.0,3.0,0
56,2,2.0,4.0,3.0,1,3.0,3.0,3.0,2.0,2.0,-0.13692229255191954,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,5.0,4.0,3.0,1
57,1,1.0,3.0,5.0,1,2.0,3.0,2.0,2.0,3.0,-0.28130074954973566,-1.4827941462833911,0.8831852289111356,0.10230203224474622,2.0,2.0,4.0,4.0,0
58,3,1.0,4.0,1.0,1,2.0,2.0,5.0,5.0,4.0,-0.32942690188234103,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,2.0,4.0,4.0,2.0,0
59,2,3.0,4.0,12.0,1,3.0,3.0,2.0,3.0,5.0,-0.2331745972171303,1.1274137310584462,2.236555399832516,0.10230203224474622,1.0,3.0,3.0,4.0,0
6,3,2.0,5.0,9.0,2,3.0,3.0,6.0,6.0,6.0,-0.28130074954973566,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,3.0,4.0,3.0,4.0,0
60,2,1.0,4.0,4.0,2,3.0,3.0,5.0,5.0,5.0,-0.2331745972171303,-0.17769020761247245,2.236555399832516,1.3840863186053893,2.0,5.0,4.0,4.0,1
61,2,3.0,5.0,12.0,2,2.0,3.0,3.0,4.0,5.0,0.4887176877719503,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,4.0,4.0,4.0,0
62,2,1.0,5.0,1.0,1,2.0,3.0,3.0,5.0,5.0,-0.08879614021931417,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,5.0,5.0,4.0,1
63,3,1.0,3.0,1.0,2,3.0,3.0,2.0,2.0,5.0,-0.2331745972171303,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,2.0,2.0,4.0,4.0,0
64,2,3.0,4.0,6.0,2,2.0,3.0,5.0,3.0,5.0,-0.28130074954973566,-1.4827941462833911,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
65,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
66,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-2.7878980849543096,-0.4701849420102447,-1.179482254115897,2.0,1.0,2.0,2.0,0
67,4,1.0,4.0,1.0,2,3.0,3.0,4.0,4.0,6.0,-0.016606911720406112,-0.17769020761247245,-0.4701849420102447,1.3840863186053893,2.0,5.0,2.0,5.0,0
68,2,1.0,2.0,4.0,1,2.0,3.0,2.0,2.0,4.0,-0.2331745972171303,-0.17769020761247245,-0.4701849420102447,1.3840863186053893,2.0,5.0,3.0,5.0,1
69,2,3.0,5.0,12.0,1,2.0,3.0,1.0,2.0,6.0,0.24808692610892344,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,1.0,3.0,5.0,0
7,3,1.0,3.0,1.0,1,2.0,2.0,5.0,5.0,4.0,-0.2331745972171303,1.1274137310584462,-0.4701849420102447,0.10230203224474622,4.0,4.0,4.0,4.0,0
