u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
64,3.0,3.0,4.0,6.0,3.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0
67,5.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,6.0,9.5,3.0,1.0,3.0,2.0,5.0,2.0,5.0,1.0
68,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,,1.0,3.0,2.0,5.0,3.0,5.0,2.0
69,3.0,3.0,5.0,12.0,2.0,2.0,3.0,1.0,2.0,6.0,15.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0
7,4.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0
70,3.0,1.0,3.0,1.0,2.0,2.0,2.0,6.0,6.0,5.0,10.0,3.0,1.0,2.0,3.0,5.0,5.0,4.0,1.0
71,3.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0
72,3.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,7.0,3.0,1.0,1.0,2.0,3.0,5.0,4.0,1.0
73,3.0,1.0,4.0,12.0,2.0,2.0,2.0,2.0,3.0,4.0,11.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0
74,3.0,1.0,5.0,12.0,3.0,2.0,3.0,5.0,5.0,4.0,8.0,2.0,1.0,1.0,2.0,5.0,3.0,4.0,1.0
75,3.0,1.0,5.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,14.0,3.0,1.0,1.0,3.0,5.0,4.0,4.0,2.0
76,3.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,9.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0
77,3.0,1.0,3.0,1.0,2.0,2.0,,3.0,2.0,,7.0,,,,2.0,,,,
78,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,5.0,8.0,3.0,1.0,4.0,2.0,2.0,5.0,4.0,1.0
79,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,11.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0
8,4.0,2.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0
80,3.0,1.0,3.0,4.0,2.0,3.0,,2.0,2.0,,10.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0
81,4.0,1.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,12.0,1.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0
82,4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,6.0,15.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0
83,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,8.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,2.0
